"sku","name","category","subcategory","price","compare_price","stock","reserved_stock","status","is_featured","image_url","website_link","material","finish","tags_summary","updated_at","image_1","image_2","image_3","restock_note",""
"201036","Elegant Twisted Crystal Bangle – Artificial Yellow Gold","Bracelets","","549","999","3","0","Enabled","No","https://www.kaapav.com/web/image/product.template/595/image_1920?unique=f7428e3","https://www.kaapav.com/shop/all-jewellery-bracelets-13/0201036-elegant-twisted-crystal-bangle-artificial-yellow-gold-595","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:20:19","https://www.kaapav.com/web/image/product.template/595/image_1920?unique=f7428e3","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778329334569_0201036 (2).jpg","","","",""
"701033","Elegant White & Green Clover Motif Ring – Artificial Yellow Gold","Rings","","299","499","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/612/image_1920?unique=0830f7a","https://www.kaapav.com/shop/all-jewellery-rings-20/0701033-elegant-white-green-clover-motif-ring-artificial-yellow-gold-612","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:21:45","https://www.kaapav.com/web/image/product.template/612/image_1920?unique=0830f7a","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778335965730_0701033 (2).jpg","","","",""
"701015","Emerald Blossom Grace Ring – Artificial Yellow Gold","Rings","","299","499","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/546/image_1920?unique=ce8adc8","https://www.kaapav.com/shop/all-jewellery-rings-20/0701015-emerald-blossom-grace-ring-artificial-yellow-gold-546","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:21:45","https://www.kaapav.com/web/image/product.template/546/image_1920?unique=ce8adc8","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778335073721_0701015 (2).jpg","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778335074716_0701015 (3).jpg","","",""
"701012","Emerald Cut Black Cubic Zirconia Halo Ring with Marquise Crystal Accents - Artificial Yellow Gold","Rings","","299","499","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/543/image_1920?unique=bb9dd23","https://www.kaapav.com/shop/all-jewellery-rings-20/0701012-emerald-cut-black-cubic-zirconia-halo-ring-with-marquise-crystal-accents-artificial-yellow-gold-543","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:21:45","https://www.kaapav.com/web/image/product.template/543/image_1920?unique=bb9dd23","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778335007898_0701012 (3).jpg","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778335006864_0701012 (2).jpg","","",""
"701013","Emerald Cut Green Cubic Zirconia Ring with Pave Crystal Band - Artificial Yellow Gold","Rings","","299","499","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/544/image_1920?unique=90d6f5f","https://www.kaapav.com/shop/all-jewellery-rings-20/0701013-emerald-cut-green-cubic-zirconia-ring-with-pave-crystal-band-artificial-yellow-gold-544","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:21:45","https://www.kaapav.com/web/image/product.template/544/image_1920?unique=90d6f5f","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778335034524_0701013 (2).jpg","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778335035236_0701013 (3).jpg","","",""
"602001","Emerald Cut Green Gem Pendant Necklace with Crystal Halo - Artificial Rose Gold","Pendants","","549","999","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/554/image_1920?unique=c38dab8","https://www.kaapav.com/shop/all-jewellery-pendant-22/0602001-emerald-cut-green-gem-pendant-necklace-with-crystal-halo-artificial-rose-gold-554","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:21:26","https://www.kaapav.com/web/image/product.template/554/image_1920?unique=c38dab8","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778333972757_0602001 (2).jpg","","","",""
"601015","Emerald Glow Glass Pendant – Artificial Yellow Gold","Pendants","","549","999","3","0","Enabled","No","https://www.kaapav.com/web/image/product.template/644/image_1920?unique=6353b28","https://www.kaapav.com/shop/all-jewellery-pendant-22/0601015-emerald-glow-glass-pendant-artificial-yellow-gold-644","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:21:26","https://www.kaapav.com/web/image/product.template/644/image_1920?unique=6353b28","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778334298747_0601015 (2).jpg","","","",""
"701040","Emerald Halo Bloom Ring – Artificial Yellow Gold","Rings","","299","499","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/619/image_1920?unique=c7579fa","https://www.kaapav.com/shop/all-jewellery-rings-20/0701040-emerald-halo-bloom-ring-artificial-yellow-gold-619","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:21:45","https://www.kaapav.com/web/image/product.template/619/image_1920?unique=c7579fa","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778336169222_0701040 (2).jpg","","","",""
"701006","Emerald Royale Radiance Ring – Artificial Yellow Gold","Rings","","299","499","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/537/image_1920?unique=4f301b6","https://www.kaapav.com/shop/all-jewellery-rings-20/0701006-emerald-royale-radiance-ring-artificial-yellow-gold-537","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:21:45","https://www.kaapav.com/web/image/product.template/537/image_1920?unique=4f301b6","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778334777081_0701006 (3).jpg","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778334776647_0701006 (2).jpg","","",""
"601005","Enamel Floral Pendant Necklace with Pearl Accent - Artificial Yellow Gold","Pendants","","549","999","2","0","Enabled","No","https://www.kaapav.com/web/image/product.template/558/image_1920?unique=a58d748","https://www.kaapav.com/shop/all-jewellery-pendant-22/0601005-enamel-floral-pendant-necklace-with-pearl-accent-artificial-yellow-gold-558","Anti-Tarnish Artificial Jewellery","","2026-08-02 09:21:26","https://www.kaapav.com/web/image/product.template/558/image_1920?unique=a58d748","https://pub-e8a17aa027ff420f83623e808512141f.r2.dev/1778334063169_0601005 (2).jpg","","","",""
